MoleculeID,LogP_pred,LogP_predRange,AD_LogP,AD_index_LogP,Conf_index_LogP
Molecule_3013,4.76,[3.99:5.53],1,0.72,0.62
Molecule_3014,0.19,[0.18:0.26],1,0.998,0.856
Molecule_3015,5.6,[5.54:5.66],1,0.998,0.894
Molecule_3016,5.77,[4.87:6.5],1,0.481,0.489
Molecule_3017,3.34,[3.29:3.39],1,0.998,0.979
Molecule_3018,1.15,[0.91:1.39],1,0.538,0.67
Molecule_3019,4.6,[2.78:6.41],1,0.277,0.242
Molecule_3020,3.34,[0.71:5.97],1,0.489,0.161
Molecule_3022,-3.89,[-3.89:-3.81],1,0.998,0.823
Molecule_3023,-3.64,[-3.67:-3.64],1,0.998,0.953
Molecule_3024,-3.69,[-3.77:-3.61],1,0.998,0.83
Molecule_3025,-5.07,[-5.08:-4.82],1,0.998,0.676
Molecule_3026,-2.17,[-2.17:-2.16],1,0.998,0.956
Molecule_3027,-0.39,[-2.3:0.93],1,0.559,0.36
Molecule_3028,-2,[-2.09:-1.91],1,0.998,0.844
Molecule_3029,4.56,[4.52:4.6],1,0.998,0.917
Molecule_3030,1.14,[0.89:1.39],1,0.568,0.685
Molecule_3031,2.03,[0.95:3.11],0,0.522,0.485
Molecule_3032,7.17,[7.11:7.23],1,0.998,0.902
Molecule_3033,8.23,[8.19:8.27],1,0.998,0.92
Molecule_3034,6.91,[6.84:6.92],1,0.998,0.881
Molecule_3035,1.46,[0.81:2.11],1,0.499,0.588
Molecule_3036,-0.25,[-0.25:-0.23],1,0.998,0.886
Molecule_3037,-1.88,[-1.89:-1.84],1,0.998,0.842
Molecule_3038,-0.4,[-0.44:-0.36],1,0.998,0.923
Molecule_3040,4.35,[4.29:4.41],1,0.957,0.954
Molecule_3042,1.69,[1.5:1.88],1,0.626,0.725
Molecule_3043,-1.54,[-2.22:-0.79],0,0.376,0.518
Molecule_3044,0.15,[-1.66:1.96],1,0.377,0.265
Molecule_3045,2.36,[2.33:2.39],1,0.998,0.905
Molecule_3046,0.69,[-0.6:1.98],1,0.326,0.339
Molecule_3047,1.9,[1.83:1.97],1,0.62,0.83
Molecule_3048,1.4,[0.52:2.28],0,0.454,0.499
Molecule_3049,-0.92,[-0.96:-0.88],1,0.998,0.907
Molecule_3051,4.93,[4.89:4.97],1,0.998,0.888
Molecule_3052,2.36,[2.35:2.37],1,0.998,0.993
Molecule_3053,1.17,[0.53:1.76],1,0.568,0.63
Molecule_3054,3.67,[3.63:3.71],1,0.998,0.914
Molecule_3055,-1.74,[-1.84:-1.64],1,0.998,0.923
Molecule_3056,3.48,[1.35:5.61],1,0.432,0.24
Molecule_3057,1.17,[0.1:2.24],0,0.161,0.345
Molecule_3058,-0.64,[-1.55:0.27],0,0.373,0.465
Molecule_3059,1.65,[1.64:1.66],1,0.998,0.969
Molecule_3060,1.99,[1.4:2.58],1,0.627,0.653
Molecule_3061,-3.56,[-4.96:-2.16],0,0.197,0.278
Molecule_3062,6.04,[5.16:6.92],1,0.473,0.538
Molecule_3063,2.05,[-0.19:4.12],1,0.581,0.257
Molecule_3064,1.78,[-0.32:3.88],1,0.57,0.279
Molecule_3065,0.59,[0.53:0.59],1,0.998,0.811
Molecule_3066,-0.95,[-1.5:-0.4],1,0.521,0.651
Molecule_3067,2.9,[2.85:2.95],1,0.998,0.926
Molecule_3068,5.66,[4.8:6.52],1,0.521,0.55
Molecule_3069,2.69,[2.66:2.72],1,0.998,0.946
Molecule_3070,4.43,[3.7:5.52],1,0.516,0.535
Molecule_3071,3.36,[3.32:3.4],1,0.998,0.971
Molecule_3072,0.2,[0.2:0.29],1,0.998,0.75
Molecule_3073,1.25,[1.25:1.36],1,0.998,0.743
Molecule_3074,3.32,[3.29:3.32],1,0.998,0.935
Molecule_3075,1.72,[1.2:2.24],1,0.588,0.627
