Molecule name,RowID,Original_SMILES,Error
Molecule_15847,15847,CC(C)(CC(C)(C)C)C1C=CC(=CC=1)OC1C=C2C3C4=C(C5=CC=C6C7=C5C(=CC=C7C5=CC=C7C8=C5C6=CC=C8C5C6=C8C(=CC=5OC5C=CC(=CC=5)C(C)(C)CC(C)(C)C)C(=O)N(C5C(=CC=CC=5C(C)C)C(C)C)C(=O)C8=CC(OC5C=CC(=CC=5)C(C)(C)CC(C)(C)C)=C76)C=14)C(=CC=3C(=O)N(C1C(=CC=CC=1C(C)C)C(C)C)C2=O)OC1C=CC(=CC=1)C(C)(C)CC(C)(C)C, Size
Molecule_16089,16089,CCC1C2=CC(O)=CC=C2N=C2c3cc4c(COC(=O)C4(CC)OC(=O)CNC(=O)COCCOCC(COCC(COCCOCC(=O)NCC(=O)OC4(CC)c5cc6C7N=C8C=CC(O)=CC8=C(CC)C=7C[n]6c(=O)c5COC4=O)OCCOCC(=O)NCC(=O)OC4(CC)c5cc6C7N=C8C=CC(O)=CC8=C(CC)C=7C[n]6c(=O)c5COC4=O)OCCOCC(=O)NCC(=O)OC4(CC)c5cc6C7N=C8C=CC(O)=CC8=C(CC)C=7C[n]6c(=O)c5COC4=O)c(=O)[n]3CC=12, Size
Molecule_17213,17213,[HH].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-]S(=O)(=O)C1=CC(=CC=C1C=CC1=CC=C(C=C1S([O-])(=O)=O)N1ON1C1C=CC(=CC=1)N1N=C2C=CC3C(=CC(=CC=3S([O-])(=O)=O)S([O-])(=O)=O)C2=N1)N1ON1C1C=C(C(C=CC2=CC=C(C=C2S([O-])(=O)=O)N2ON2C2C=CC(=CC=2)N2N=C3C=CC4C(=CC(=CC=4S([O-])(=O)=O)S([O-])(=O)=O)C3=N2)=CC=1)S([O-])(=O)=O, Size
Molecule_17556,17556,NC(N)=NCCCC(NC(=O)C(CCCNC(N)=N)NC(=O)C(CCC(N)=O)NC(=O)C(CCCNC(N)=N)NC(=O)C(CCCNC(N)=N)NC(=O)C(CCCNC(N)=N)NC(=O)C(CC1CCCCC1)NC(=O)C(CC1C(F)=C(F)C(F)=C(F)C=1F)NC(=O)C(CO)NC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C(CO)NC(=O)C(N)CC1C=CC(=CC=1)C(=O)C1C=CC=CC=1)C(O)=O, Size
Molecule_17560,17560,CSCCC(NC(=O)C(CO)NC(=O)C(CC1C=CC(O)=CC=1)NC(=O)C(N)CO)C(=O)NC(CCC(O)=O)C(=O)NC(CC1=CNC=N1)C(=O)NC(CC1C=CC=CC=1)C(=O)NC(CCCN=C(N)N)C(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NCC(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(C(C)C)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCNC(N)=N)C(=O)N1CCCC1C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NC(C(C)C)C(=O)NC(CC1C=CC(O)=CC=1)C(=O)N1CCCC1C(O)=O.CC(O)=O.CC(O)=O.CC(O)=O.CC(O)=O.CC(O)=O.CC(O)=O, Size
Molecule_18246,18246,CC(C)C(NC(=O)C1CCCN1C(=O)C(CCCCN)NC(=O)CNC(=O)C(CC1=CNC2=CC=CC=C12)NC(=O)C(CCCNC(N)=N)NC(=O)C(CC1C=CC=CC=1)NC(=O)C(CC1=CNC=N1)NC(=O)C(CCC(O)=O)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(CC1C=CC(O)=CC=1)NC(=O)CCN)C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NCCCCN, Size
Molecule_18857,18857,CC(C)CC(NC(=O)C(CC1=CNC=N1)NC(=O)C(CC1=CC=CC=C1)NC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CCCN=C(N)N)NC(=O)OCC1=CC=CC=C1)C(O)CC(=O)NC(C(C)CC)C(=O)NC(CC1=CN=CN1)C(=O)NC(CCCCNC(=O)OC(C)(C)C)C(=O)OC, Size
Molecule_19216,19216,CC(O)C(NC(=O)C(CC(N)=O)NC(=O)C1CCCN1C(=O)C(CS)NC(=O)C(CS)NC(=O)C(CO)NC(=O)C(N)CCCCN)C(=O)NC(C(C)O)C(=O)NCC(=O)NC(CCCN=C(N)N)C(=O)NC(CC(N)=O)C(=O)NC(C(C)CC)C(=O)NC(CC1C=CC(O)=CC=1)C(=O)NC(CC(N)=O)C(=O)NCC(=O)NC(CS)C(=O)NC(CCCNC(N)=N)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NC(CCCNC(N)=N)C(=O)NCC(=O)NCC(=O)NC(CS)C(=O)NC(C)C(=O)NCC(=O)NCC(=O)NC(CO)C(=O)NCC(=O)NC(CS)C(=O)NC(CCCCN)C(=O)NC(C(C)CC)C(=O)NC(C(C)CC)C(=O)NC(CO)C(=O)NCC(=O)NC(CO)C(=O)NC(C(C)O)C(=O)NC(CS)C(=O)N1CCCC1C(=O)NC(CO)C(=O)NC(CC1C=CC(O)=CC=1)C(=O)N1CCCC1C(=O)NC(CC(O)=O)C(=O)NC(CCCCN)C(O)=O, Size
Molecule_19543,19543,CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NC(CC(N)=O)C(=O)NC(CC(O)=O)C(=O)NC1C(C)OC(=O)C(CC(=O)C2=CC=CC=C2N)NC(=O)C(NC(=O)C(CO)NC(=O)CNC(=O)C(CC(O)=O)NC(=O)C(C)NC(=O)C(CC(O)=O)NC(=O)C(CCCN)NC(=O)CNC1=O)C(C)CC(O)=O, Size
Molecule_19781,19781,CCC(C)C(NC(=O)C(CCC(O)=O)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CS)NC(=O)C(CO)NC(=O)C(CC1C=CC=CC=1)NC(=O)CNC(=O)C(CCCN=C(N)N)NC(=O)C1CCCN1C(=O)C(C)NC(=O)C(N)CCSC)C(C)O)C(=O)NC(CC(O)=O)C(=O)NC(CC(C)C)C(=O)N1CCCC1C(=O)NC(C(C)C)C(=O)NC(CCCCN)C(=O)NC(CCCNC(N)=N)C(=O)NC(CCCNC(N)=N)C(=O)NC(C)C(O)=O, Size
Molecule_20228,20228,CC1(C)CC2C3=CCC4C5(C)CCC(OC6OC(C(O)C(OC7OCC(O)C(O)C7O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(C=O)C5CCC4(C)C3(C)CC(O)C2(CC1)C(=O)OC1OC(C)C(OC(=O)CC(O)CC(OC(=O)CC(O)CC(OC2OC(CO)C(O)C2O)C(C)CC)C(C)CC)C(O)C1OC1OC(C)C(OC2OCC(O)C(OC3OCC(O)(CO)C3O)C2O)C(O)C1O, Size
