MoleculeID,LogP_pred,LogP_predRange,AD_LogP,AD_index_LogP,Conf_index_LogP
Molecule_100,1.72,[1.41:2.03],1,0.663,0.761
Molecule_101,8.82,[7.5:10.14],1,0.473,0.433
Molecule_103,1.92,[1.82:2.02],1,0.998,0.787
Molecule_105,3.49,[3.01:3.97],1,0.564,0.651
Molecule_106,2.28,[2.28:2.34],1,0.998,0.892
Molecule_107,0.93,[0.9:0.96],1,0.998,0.932
Molecule_108,2.06,[2.06:2.1],1,0.998,0.984
Molecule_109,1.76,[1.76:1.85],1,0.998,0.766
Molecule_110,3.28,[3.25:3.31],1,0.998,0.947
Molecule_111,4.55,[4.48:4.55],1,0.998,0.843
Molecule_112,4.08,[4.04:4.12],1,0.998,0.95
Molecule_113,3.8,[3.76:3.84],1,0.998,0.937
Molecule_114,1.1,[1.06:1.14],1,0.998,0.908
Molecule_115,0.82,[0.79:0.85],1,0.998,0.935
Molecule_116,-0.93,[-0.93:-0.88],1,0.998,0.794
Molecule_117,1.43,[1.4:1.46],1,0.998,0.932
Molecule_118,5.7,[5.7:5.74],1,0.998,0.897
Molecule_119,-0.44,[-0.44:-0.37],1,0.998,0.845
Molecule_120,1.97,[1.58:2.36],1,0.449,0.678
Molecule_121,2.33,[2.13:2.53],1,0.421,0.706
Molecule_122,4.56,[2.9:6.22],1,0.332,0.326
Molecule_124,0.4,[-0.29:1.09],1,0.407,0.532
Molecule_125,-0.8,[-0.83:-0.77],1,0.998,0.867
Molecule_126,2.79,[2.76:2.79],1,0.998,0.884
Molecule_127,-0.41,[-2.28:1.46],1,0.237,0.274
Molecule_128,-1,[-1.01:-0.99],1,0.998,0.992
Molecule_129,0.25,[0.25:0.28],1,0.998,0.875
Molecule_130,3.49,[3.43:3.55],1,0.998,0.811
Molecule_131,3.34,[3.3:3.38],1,0.998,0.807
Molecule_132,3.2,[3.17:3.2],1,0.998,0.924
Molecule_136,6.5,[6.43:6.5],1,0.998,0.847
Molecule_137,6.5,[6.39:6.61],1,0.998,0.839
Molecule_138,2.41,[2.36:2.46],1,0.998,0.87
Molecule_139,4.16,[4.13:4.19],1,0.998,0.95
Molecule_140,3.66,[3.61:3.71],1,0.998,0.897
Molecule_141,3.22,[3.1:3.34],1,0.503,0.774
Molecule_142,1.26,[-0.39:2.91],1,0.417,0.408
Molecule_143,8.93,[8.81:9.05],1,0.998,0.799
Molecule_144,6.59,[4.72:8.46],1,0.625,0.349
Molecule_146,2.62,[2.59:2.65],1,0.998,0.907
Molecule_147,2.99,[2.94:3.04],1,0.998,0.944
Molecule_148,2.58,[2.48:2.58],1,0.998,0.745
Molecule_149,2.55,[2.52:2.58],1,0.998,0.903
Molecule_150,2.99,[2.95:3.03],1,0.998,0.907
Molecule_151,3.13,[3.07:3.19],1,0.998,0.965
