Superclass,my_class,total_count,measured_count,potent_frac,CASRN,PREFERRED_NAME,IUPAC_NAME,log POD (95% CI),uhat,dJ,training log POD,all reported log POD
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['23713-49-7'],['Zinc (II) cation'],['Zinc'],"1.53 [-0.87, 2.90]",3.761663013357051,0.76,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['14596-12-4'],['(~59~Fe)Iron'],['(~59~Fe)Iron'],"1.53 [0.77, 2.90]",2.1295314993242,0.86,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['15055-22-8'],"['Tantalum, isotope of mass 178']",['(~178~Ta)Tantalum'],"1.53 [0.50, 3.13]",2.631456415600684,0.95,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['14694-69-0'],['(~192~Ir)Iridium'],['(~192~Ir)Iridium'],"1.54 [0.69, 3.09]",2.4000662831653017,0.93,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['14391-94-7'],['(~44~Sc)Scandium'],['(~44~Sc)Scandium'],"1.55 [0.36, 3.35]",2.985468542060544,0.86,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['13982-23-5'],['(~69~Zn)Zinc'],['(~69~Zn)Zinc'],"1.55 [0.71, 2.90]",2.189058121965317,0.92,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['22542-11-6'],"['Mercury, ion (Hg1+)']",[nan],"1.55 [-0.02, 3.19]",3.209433109493594,0.86,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['14234-24-3'],['(~91~Y)Yttrium'],['(~91~Y)Yttrium'],"1.55 [0.35, 3.53]",3.176720370162395,0.87,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['22541-63-5'],['Cobaltic cation'],['Cobalt(3+)'],"1.56 [-0.75, 2.84]",3.594603309894272,0.91,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['13982-36-0'],['(~88~Y)Yttrium'],['(~88~Y)Yttrium'],"1.56 [0.35, 3.53]",3.176720370162395,0.5,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['15706-50-0'],['(~107~Rh)Rhodium'],['(~107~Rh)Rhodium'],"1.56 [0.69, 2.88]",2.192770126491141,0.87,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['14276-61-0'],['(~43~Sc)Scandium'],['(~43~Sc)Scandium'],"1.56 [0.38, 3.36]",2.985468542060544,0.94,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['15832-40-3'],['(~183~Hf)Hafnium'],['(~183~Hf)Hafnium'],"1.56 [0.18, 3.42]",3.238339501884488,0.8,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['15765-82-9'],['(~102~Rh)Rhodium'],['(~102~Rh)Rhodium'],"1.57 [0.70, 2.90]",2.191651127292837,0.94,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['14133-76-7'],['Technetium-99m'],['(~99~Tc)Technetium'],"1.57 [0.68, 2.90]",2.2164238409975794,0.94,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['7440-16-6'],['Rhodium'],['Rhodium'],"1.57 [0.71, 2.90]",2.191400843564613,0.94,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['1205098-34-5'],['Cupric cation Cu-64'],['(~64~Cu)Copper(2+)'],"1.58 [-0.67, 3.08]",3.7553170838998846,0.9,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['14331-95-4'],['(~105~Ru)Ruthenium'],['(~105~Ru)Ruthenium'],"1.58 [0.82, 2.97]",2.153445298499652,0.89,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['12249-45-5'],"['Copper, compound with silver (1:1)']",['Copper--silver (1/1)'],"1.58 [0.44, 3.05]",2.61006634797726,0.78,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['15766-50-4'],['(~185~Os)Osmium'],['(~185~Os)Osmium'],"1.58 [0.45, 2.90]",2.450678741394712,0.91,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['15759-26-9'],['(~172~Ta)Tantalum'],['(~172~Ta)Tantalum'],"1.59 [0.56, 3.20]",2.635847396158564,0.87,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['15543-40-5'],['Zirconium cation (4+)'],['Zirconium(4+)'],"1.59 [-0.63, 3.19]",3.8205722338338033,0.73,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['18853-08-2'],['(~178~Re)Rhenium'],['(~178~Re)Rhenium'],"1.59 [0.75, 3.16]",2.404852248633913,0.92,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['15749-44-7'],['(~177~W)Tungsten'],['(~177~W)Tungsten'],"1.59 [0.28, 2.90]",2.6268462637920886,0.94,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['22541-64-6'],"['Nickel, ion (Ni3+)']",['Nickel(3+)'],"1.60 [-0.65, 3.10]",3.751204324052162,0.89,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['7439-89-6'],['Iron'],['Iron'],"1.60 [0.84, 2.97]",2.130183246926757,0.9,,2.41
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['22541-53-3'],['Cobaltous cation'],['Cobalt(2+)'],"1.60 [-0.66, 3.10]",3.754771781251258,0.72,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['14093-04-0'],['(~52~Fe)Iron'],['(~52~Fe)Iron'],"1.60 [0.83, 2.95]",2.118104784396341,0.94,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['14391-27-6'],['(~179~Ta)Tantalum'],['(~179~Ta)Tantalum'],"1.60 [0.58, 3.21]",2.631456415600684,0.9,,
Homogeneous metal compounds,Homogeneous transition metal compounds (C),252,5,0.0,['16065-83-1'],['Chromium (III)'],['Chromium(3+)'],"1.61 [-0.64, 3.11]",3.7476980356979994,0.89,,
