Seed,Model,fold,MAE,MdAE,RMSE,R2,Algorithm,Features
2,XGB_cddd,9,0.465322000256252,0.33707167677629,0.6390009032712701,0.4501076148962383,XGB,CDDD embedding
2,XGB_maccs,0,0.4180262001644188,0.310349365624206,0.583559389719797,0.5159941530672886,XGB,MACCS fingerprint
2,XGB_maccs,1,0.4356461146261588,0.3647811377878942,0.5850965677879366,0.41825527093321513,XGB,MACCS fingerprint
2,XGB_maccs,2,0.40125969472117706,0.2837051262050032,0.6136777169219139,0.48547346947709213,XGB,MACCS fingerprint
2,XGB_maccs,3,0.45026828325393053,0.35686027429972156,0.6322405019321666,0.40284262875158106,XGB,MACCS fingerprint
2,XGB_maccs,4,0.46504622080919533,0.34061750561561666,0.7090780386850941,0.38365929540732824,XGB,MACCS fingerprint
2,XGB_maccs,5,0.45229580362698263,0.30010333428124936,0.6259572869343818,0.37248210458717834,XGB,MACCS fingerprint
2,XGB_maccs,6,0.4363334319177659,0.33474552963062454,0.571641446567648,0.4725536484707088,XGB,MACCS fingerprint
2,XGB_maccs,7,0.4196006054238938,0.30377349906217965,0.6008641212947745,0.512804084591209,XGB,MACCS fingerprint
2,XGB_maccs,8,0.46166149515399063,0.3132839677119632,0.8066615066182402,0.31171997390378403,XGB,MACCS fingerprint
2,XGB_maccs,9,0.48010209056882475,0.34790339211606813,0.654263339453205,0.4235257226925535,XGB,MACCS fingerprint
2,XGB_morgan-512,0,0.4341134820887915,0.3361374608384917,0.5921775282501346,0.5015927730276648,XGB,MORGAN fingerprint
2,XGB_morgan-512,1,0.4373948780767785,0.343429749334375,0.5676258662236474,0.45247782722259267,XGB,MORGAN fingerprint
2,XGB_morgan-512,2,0.45780247603428914,0.3502156416073883,0.6374811276614257,0.4447843111741714,XGB,MORGAN fingerprint
2,XGB_morgan-512,3,0.45343017161725924,0.3351455109961401,0.6230753743884755,0.4200302472225881,XGB,MORGAN fingerprint
2,XGB_morgan-512,4,0.4993463582648672,0.37598629033666375,0.7446741861348294,0.32022470055529495,XGB,MORGAN fingerprint
2,XGB_morgan-512,5,0.45101087645820787,0.3337021179089177,0.5921315407989856,0.43846981523634887,XGB,MORGAN fingerprint
2,XGB_morgan-512,6,0.45148209333242384,0.36008966452146973,0.5911643852894493,0.4359113029325511,XGB,MORGAN fingerprint
2,XGB_morgan-512,7,0.44919473192666254,0.33993338017803154,0.6113488389046509,0.49565319090657844,XGB,MORGAN fingerprint
2,XGB_morgan-512,8,0.49409747638178975,0.33651809646298414,0.8454156432706913,0.24399779995977233,XGB,MORGAN fingerprint
2,XGB_morgan-512,9,0.47750907750337707,0.34293173292667856,0.6537072564974818,0.4245052404784986,XGB,MORGAN fingerprint
2,XGB_rdkit,0,0.4117304724087326,0.31307828764171663,0.5718939234665015,0.5351514834523076,XGB,RDKIT descriptors
2,XGB_rdkit,1,0.4130107755717655,0.3336626192291938,0.5513572634483475,0.48341290057895503,XGB,RDKIT descriptors
2,XGB_rdkit,2,0.4194945565080788,0.2835597936116301,0.6181014913612671,0.4780286716359198,XGB,RDKIT descriptors
2,XGB_rdkit,3,0.41465343608788413,0.33301125465857173,0.557585377768195,0.5355414921986381,XGB,RDKIT descriptors
2,XGB_rdkit,4,0.4266151403692445,0.32137889142270115,0.6501735863031797,0.4818071395712539,XGB,RDKIT descriptors
2,XGB_rdkit,5,0.4015546984456951,0.27648593122981535,0.5460047972867166,0.5225480918172771,XGB,RDKIT descriptors
2,XGB_rdkit,6,0.41631504100427064,0.2857964185856732,0.5678575487204257,0.47951324757271974,XGB,RDKIT descriptors
2,XGB_rdkit,7,0.41187416646950836,0.3029770341137641,0.5754471064499939,0.5531498425647423,XGB,RDKIT descriptors
2,XGB_rdkit,8,0.4569399409050208,0.33328034059615286,0.7834407999252666,0.3507755456996575,XGB,RDKIT descriptors
2,XGB_rdkit,9,0.423411811284257,0.2862410308731653,0.5886082889627793,0.5334185065916266,XGB,RDKIT descriptors
2,consensus_consensus,0,0.4167833187134067,0.3018032578396588,0.5774597332773131,0.5260594185105634,consensus,consensus
2,consensus_consensus,1,0.4056833648092444,0.31484239405500647,0.54048317906892,0.5035886293768524,consensus,consensus
2,consensus_consensus,2,0.4057087097058424,0.3157991253144641,0.5880718711633537,0.527515160119296,consensus,consensus
2,consensus_consensus,3,0.42413338399970635,0.3532294821430195,0.5624050699065063,0.5274773572475286,consensus,consensus
2,consensus_consensus,4,0.40872334612686084,0.3197427638128212,0.6153083619201317,0.535892683285167,consensus,consensus
2,consensus_consensus,5,0.4016006988893786,0.2823623410143692,0.5505003060223332,0.5146535629052792,consensus,consensus
2,consensus_consensus,6,0.39560905191834245,0.28017542296505726,0.5382236555909362,0.5324194508399462,consensus,consensus
2,consensus_consensus,7,0.39907531688541037,0.30824666293614067,0.5576144527047294,0.5804157889716309,consensus,consensus
2,consensus_consensus,8,0.45286755565302905,0.303430192143638,0.7705226856254562,0.3720090870724668,consensus,consensus
2,consensus_consensus,9,0.41732218807720584,0.2962378477279475,0.5718015117294651,0.5596830946365896,consensus,consensus
3,KNN_cddd,0,0.4694256075632289,0.3500389127614252,0.6298891105792829,0.3837960491873783,KNN,CDDD embedding
3,KNN_cddd,1,0.4821361841186355,0.3241806997665271,0.6777841717022027,0.36249155329806415,KNN,CDDD embedding
3,KNN_cddd,2,0.44906359499157744,0.3239631989686338,0.5999862266299169,0.4265329123635979,KNN,CDDD embedding
3,KNN_cddd,3,0.48677292294105984,0.3357025339433446,0.6567248796354603,0.39756538660294416,KNN,CDDD embedding
3,KNN_cddd,4,0.4590158573464799,0.3396836611868883,0.6269112434516956,0.4112363125093247,KNN,CDDD embedding
3,KNN_cddd,5,0.4727484578364176,0.346145620612738,0.7043780160747848,0.35684086375782653,KNN,CDDD embedding
3,KNN_cddd,6,0.43318974096244733,0.3078849649913231,0.6061731480911481,0.444247438766347,KNN,CDDD embedding
3,KNN_cddd,7,0.4567094796753551,0.31982567588640487,0.80799883802116,0.35178599530319465,KNN,CDDD embedding
3,KNN_cddd,8,0.43309565872355865,0.33332488225404555,0.5828894814789388,0.4769604913423098,KNN,CDDD embedding
3,KNN_cddd,9,0.4711857245336952,0.3246097552724123,0.6588576767030153,0.39540364425818075,KNN,CDDD embedding
3,KNN_maccs,0,0.4730558981289641,0.3573932517063396,0.6222948905319275,0.3985649306646286,KNN,MACCS fingerprint
3,KNN_maccs,1,0.4747073714781865,0.3233493011376096,0.6922788485497614,0.3349332687538348,KNN,MACCS fingerprint
3,KNN_maccs,2,0.4700871175223341,0.3666489362588703,0.6483761194416234,0.33030052561994017,KNN,MACCS fingerprint
3,KNN_maccs,3,0.48201618476215335,0.3730045262601309,0.6418621826947977,0.4245248765599463,KNN,MACCS fingerprint
3,KNN_maccs,4,0.4746257188882817,0.3173333389017545,0.6660263786869421,0.3354743339571862,KNN,MACCS fingerprint
3,KNN_maccs,5,0.4433091940288976,0.31326926164384794,0.6782384220095046,0.4036906282581988,KNN,MACCS fingerprint
3,KNN_maccs,6,0.4364016572411986,0.3003163785733072,0.6126289069394266,0.43234684690114245,KNN,MACCS fingerprint
3,KNN_maccs,7,0.4539082009501345,0.2784337172309863,0.8434399526136971,0.2936738657841078,KNN,MACCS fingerprint
3,KNN_maccs,8,0.45338115130531936,0.3748313847631026,0.6000517345875762,0.44570692908960374,KNN,MACCS fingerprint
3,KNN_maccs,9,0.49416135528292915,0.3740933737273009,0.6585292384493922,0.3960062723655229,KNN,MACCS fingerprint
3,KNN_morgan-512,0,0.4718739180163443,0.3380980526385793,0.6734663445870576,0.2955858480500757,KNN,MORGAN fingerprint
3,KNN_morgan-512,1,0.5004607168975663,0.3499554352584371,0.6817642275296526,0.3549824697744708,KNN,MORGAN fingerprint
3,KNN_morgan-512,2,0.45046441551693084,0.30887180625343413,0.6340605475589993,0.3595468010152326,KNN,MORGAN fingerprint
3,KNN_morgan-512,3,0.4936163965099517,0.3978097581461555,0.6432416228939715,0.4220486859916247,KNN,MORGAN fingerprint
3,KNN_morgan-512,4,0.46150943185671384,0.3511101178672198,0.6320942717651848,0.40146078701111054,KNN,MORGAN fingerprint
3,KNN_morgan-512,5,0.45645535227178363,0.3539235413192685,0.7116583659233632,0.3434769544911892,KNN,MORGAN fingerprint
3,KNN_morgan-512,6,0.44676332584425904,0.3388576380268695,0.6155705335758157,0.42688242115587116,KNN,MORGAN fingerprint
3,KNN_morgan-512,7,0.4570493631985758,0.2896087541809882,0.8391965978573434,0.3007630554760793,KNN,MORGAN fingerprint
3,KNN_morgan-512,8,0.4747407452831578,0.40769646808603976,0.6306709635514256,0.3876951052829237,KNN,MORGAN fingerprint
3,KNN_morgan-512,9,0.4842922808600735,0.3336851125184426,0.668106034932182,0.37831112830053826,KNN,MORGAN fingerprint
3,KNN_rdkit,0,0.46899789853127266,0.3552716853162905,0.6318712469275117,0.37991180359338783,KNN,RDKIT descriptors
3,KNN_rdkit,1,0.4614289855598281,0.29552855317945803,0.6727089153185365,0.37200315048667587,KNN,RDKIT descriptors
3,KNN_rdkit,2,0.44507001721638323,0.3353042555120851,0.5985682805711988,0.4292402563270248,KNN,RDKIT descriptors
3,KNN_rdkit,3,0.48551161141758786,0.3846072185549325,0.6499427794548647,0.4099440091426859,KNN,RDKIT descriptors
3,KNN_rdkit,4,0.46720442712067073,0.36972562830787115,0.653636861107102,0.3599675839111679,KNN,RDKIT descriptors
3,KNN_rdkit,5,0.47299084217595877,0.3199514556838756,0.7212888763315596,0.3255879421687454,KNN,RDKIT descriptors
3,KNN_rdkit,6,0.4226198248792962,0.2973706049717735,0.6089564098415274,0.4391322140121645,KNN,RDKIT descriptors
3,KNN_rdkit,7,0.44832749967467195,0.2853452407040713,0.825771213875701,0.32295674442856115,KNN,RDKIT descriptors
3,KNN_rdkit,8,0.4639167332400966,0.3835414511414932,0.6330177736494462,0.38312969175197076,KNN,RDKIT descriptors
3,KNN_rdkit,9,0.4671812592605037,0.3304196726089401,0.6451604589078468,0.4202806609107851,KNN,RDKIT descriptors
3,MLR_cddd,0,0.4812258261123183,0.3733538032948407,0.6469965353524721,0.3498700285832388,MLR,CDDD embedding
3,MLR_cddd,1,0.5171478995444682,0.406453225200218,0.6994282599805307,0.32112557220046556,MLR,CDDD embedding
3,MLR_cddd,2,0.5087819321928543,0.41249744788384124,0.6626118684510259,0.30056983680940497,MLR,CDDD embedding
3,MLR_cddd,3,0.49670502486282553,0.40793226769506696,0.657845959040686,0.39550682747395194,MLR,CDDD embedding
3,MLR_cddd,4,0.5044832508171412,0.4247963999921782,0.6597959283015911,0.34784900499580573,MLR,CDDD embedding
3,MLR_cddd,5,0.4926982543855554,0.391145469886367,0.7227603364618156,0.3228334765832459,MLR,CDDD embedding
3,MLR_cddd,6,0.4817381473316049,0.34629387518780286,0.6692641354029447,0.32254073061806443,MLR,CDDD embedding
3,MLR_cddd,7,0.5337624580548248,0.39821977377572626,0.8749782583697966,0.23986372069506556,MLR,CDDD embedding
3,MLR_cddd,8,0.49285306259441924,0.4121008996388871,0.6348303026786222,0.3795920467855922,MLR,CDDD embedding
3,MLR_cddd,9,0.5233168876151771,0.39148378156238195,0.6941998114459913,0.32880102152343427,MLR,CDDD embedding
3,MLR_maccs,0,0.46554917911235044,0.3561254894717971,0.6277959181862628,0.38788467453416275,MLR,MACCS fingerprint
3,MLR_maccs,1,0.5137933261932829,0.39612987995568094,0.7136917725936027,0.2931545304284835,MLR,MACCS fingerprint
3,MLR_maccs,2,0.4723276017295008,0.3510773475162512,0.6439979123298479,0.33931437841781464,MLR,MACCS fingerprint
3,MLR_maccs,3,0.46936718314587483,0.3372680580314167,0.6384800948484282,0.4305734637814067,MLR,MACCS fingerprint
3,MLR_maccs,4,0.5014940590992927,0.41482606276468825,0.6524060798725799,0.36237564345358697,MLR,MACCS fingerprint
3,MLR_maccs,5,0.5157554427965105,0.39705772412010254,0.7459572028221474,0.27866886055674434,MLR,MACCS fingerprint
3,MLR_maccs,6,0.45628851774412493,0.34867708340174297,0.6258020644139785,0.407672266718789,MLR,MACCS fingerprint
3,MLR_maccs,7,0.5101296421971877,0.3683297734064701,0.883383408227058,0.22518965004934188,MLR,MACCS fingerprint
3,MLR_maccs,8,0.5001272180106363,0.39660349763019287,0.6414617644244178,0.36656273738625,MLR,MACCS fingerprint
3,MLR_maccs,9,0.5139493242135772,0.3997739293307947,0.6760337487423532,0.3634697340023032,MLR,MACCS fingerprint
3,MLR_morgan-512,0,0.5217460672724499,0.42751361314507896,0.695926667475893,0.24781748263647585,MLR,MORGAN fingerprint
3,MLR_morgan-512,1,0.5510447568510786,0.44128162873107457,0.7152550828903599,0.29005451137065197,MLR,MORGAN fingerprint
